"","lsoa11cd","msoa11cd"
"7330","E01013436","E02002772"
"7332","E01013380","E02002779"
"7333","E01013345","E02002780"
"7335","E01013439","E02002772"
"7337","E01013383","E02002781"
"7342","E01013348","E02002781"
"7343","E01013384","E02002786"
"7344","E01013375","E02002773"
"7345","E01013451","E02002791"
"7353","E01013374","E02002774"
"7354","E01033297","E02002766"
"7366","E01013361","E02002790"
"7372","E01013386","E02002781"
"7374","E01013393","E02002787"
"7378","E01013392","E02002783"
"7380","E01013395","E02002787"
"7384","E01013401","E02002786"
"7385","E01013406","E02002776"
"7387","E01013412","E02002792"
"7388","E01013414","E02002792"
"7401","E01013420","E02002785"
"7406","E01013352","E02002791"
"7408","E01013376","E02002773"
"7410","E01013358","E02002792"
"7421","E01013388","E02002779"
"7423","E01013394","E02002787"
"7424","E01013408","E02002775"
"7439","E01013399","E02002786"
"7453","E01013398","E02002786"
"7471","E01013403","E02002786"
"7480","E01013421","E02002782"
"7485","E01013379","E02002779"
"7494","E01013431","E02002777"
"7504","E01013405","E02002776"
"7538","E01013340","E02002795"
"7542","E01013351","E02002791"
"7560","E01013440","E02002772"
"7562","E01013449","E02002793"
"7563","E01013452","E02002791"
"7576","E01013450","E02002794"
"7602","E01013425","E02002795"
"7624","E01013389","E02002779"
"7627","E01013397","E02002788"
"7653","E01013562","E02002814"
"7654","E01013363","E02002790"
"7657","E01013493","E02002822"
"7658","E01013491","E02002817"
"7660","E01013489","E02002817"
"7664","E01013594","E02002805"
"7667","E01013488","E02002817"
"7669","E01013492","E02002822"
"7671","E01013541","E02002816"
"7672","E01013572","E02002818"
"7673","E01013571","E02002818"
"7676","E01013587","E02002824"
"7678","E01013588","E02002824"
"7679","E01013589","E02002824"
"7682","E01013585","E02002824"
"7683","E01013586","E02002824"
"7684","E01013455","E02002812"
"7686","E01013472","E02002821"
"7687","E01013539","E02002816"
"7688","E01013521","E02002825"
"7689","E01013515","E02002826"
"7690","E01013523","E02002803"
"7692","E01013464","E02002796"
"7693","E01013461","E02002796"
"7694","E01013501","E02002823"
"7695","E01013518","E02002825"
"7696","E01013517","E02002825"
"7697","E01033168","E02002825"
"7698","E01013527","E02002800"
"7699","E01013558","E02002810"
"7700","E01013564","E02002810"
"7701","E01013576","E02002798"
"7702","E01013462","E02002796"
"7703","E01013495","E02002822"
"7704","E01013502","E02002820"
"7706","E01013504","E02002821"
"7707","E01013507","E02002807"
"7711","E01013534","E02002801"
"7712","E01013548","E02002804"
"7717","E01013595","E02002809"
"7722","E01033171","E02002819"
"7731","E01013552","E02002804"
"7736","E01033167","E02002813"
"7740","E01013480","E02002811"
"7741","E01013364","E02002790"
"7746","E01013483","E02002811"
"7747","E01013484","E02002813"
"7748","E01013485","E02002811"
"7750","E01013487","E02002813"
"7752","E01013567","E02002815"
"7753","E01013569","E02002815"
"7754","E01013570","E02002818"
"7757","E01013565","E02002811"
"7758","E01013566","E02002811"
"7760","E01013568","E02002815"
"7765","E01013463","E02002796"
"7766","E01013465","E02002797"
"7767","E01013520","E02002826"
"7769","E01013574","E02002798"
"7770","E01013577","E02002798"
"7778","E01013579","E02002798"
"7779","E01013578","E02002798"
"7781","E01013512","E02002807"
"7782","E01013529","E02002800"
"7783","E01013528","E02002800"
"7785","E01013545","E02002816"
"7786","E01013547","E02002806"
"7849","E01013411","E02002776"
"7861","E01013400","E02002786"
"7938","E01013457","E02002808"
"7939","E01013458","E02002812"
"7941","E01013459","E02002815"
"7942","E01013454","E02002808"
"8001","E01013596","E02002805"
"8005","E01013456","E02002808"
"8007","E01013479","E02002808"
"8010","E01033166","E02002813"
"8012","E01013522","E02002803"
"8014","E01013510","E02002807"
"8015","E01013533","E02002802"
"8017","E01013469","E02002797"
"8019","E01013473","E02002820"
"8021","E01013544","E02002816"
"8022","E01013546","E02002812"
"8026","E01013559","E02002810"
"8027","E01013598","E02002809"
"8028","E01013467","E02002797"
"8029","E01013466","E02002797"
"8030","E01013468","E02002797"
"8052","E01033169","E02002825"
"8053","E01013532","E02002799"
"8057","E01013511","E02002807"
"8065","E01013499","E02002823"
"8072","E01013490","E02002817"
"8079","E01013514","E02002826"
"8081","E01013519","E02002826"
"8083","E01013540","E02002814"
"8085","E01013537","E02002802"
"8090","E01013543","E02002816"
"8092","E01013542","E02002812"
"8099","E01013560","E02002814"
"8110","E01013470","E02002819"
"8111","E01013503","E02002820"
"8112","E01013506","E02002801"
"8113","E01013496","E02002823"
"8114","E01033170","E02002825"
"8117","E01013474","E02002819"
"8122","E01013526","E02002800"
"8123","E01013538","E02002802"
"8125","E01013549","E02002804"
"8128","E01013500","E02002823"
"8130","E01013557","E02002810"
"8133","E01013556","E02002810"
"8135","E01013561","E02002814"
"8138","E01013575","E02002798"
"8139","E01013599","E02002805"
"8144","E01013477","E02002820"
"8145","E01013525","E02002803"
"8156","E01013509","E02002807"
"8159","E01013554","E02002806"
"8165","E01013471","E02002820"
"8167","E01013494","E02002822"
"8169","E01013498","E02002823"
"8174","E01013530","E02002799"
"8175","E01013553","E02002804"
"8178","E01013597","E02002809"
"8185","E01013453","E02002808"
"8205","E01013563","E02002814"
"8222","E01013497","E02002821"
"8225","E01013460","E02002808"
"8233","E01013476","E02002819"
"8243","E01013536","E02002802"
"8260","E01013531","E02002799"
"8266","E01013505","E02002801"
"8271","E01013535","E02002802"
"8278","E01013550","E02002806"
"8286","E01013582","E02002801"
"8287","E01013581","E02002799"
"8292","E01013475","E02002820"
"8296","E01013513","E02002801"
"8318","E01013593","E02002809"
"8329","E01013481","E02002813"
"8332","E01013486","E02002813"
"8359","E01013508","E02002807"
"8368","E01013555","E02002804"
"8404","E01013551","E02002806"
"8405","E01033172","E02002819"
"8415","E01013584","E02002824"
"8416","E01013580","E02002798"
"8421","E01013592","E02002805"
"8440","E01013665","E02002845"
"8455","E01013736","E02002828"
"8458","E01013583","E02002821"
"8460","E01013662","E02002847"
"8464","E01013734","E02002828"
"8466","E01013739","E02002831"
"8468","E01013663","E02002847"
"8472","E01013733","E02002828"
"8475","E01013573","E02002818"
"8497","E01013732","E02002831"
"8524","E01013591","E02002821"
"8525","E01013590","E02002821"
"8537","E01013668","E02002845"
"8543","E01013671","E02002851"
"8544","E01013666","E02002851"
"8545","E01013667","E02002845"
"8546","E01013672","E02002851"
"8549","E01013670","E02002851"
"8550","E01013669","E02002851"
"8556","E01013680","E02002834"
"8559","E01013690","E02006817"
"8560","E01013697","E02002835"
"8561","E01013699","E02002835"
"8562","E01032865","E02002835"
"8565","E01013694","E02002839"
"8566","E01013698","E02006815"
"8567","E01013700","E02002839"
"8569","E01013709","E02006817"
"8572","E01013702","E02002856"
"8575","E01013705","E02006817"
"8577","E01032599","E02006817"
"8580","E01013710","E02002856"
"8581","E01013717","E02002836"
"8582","E01013714","E02002836"
"8584","E01013721","E02002838"
"8586","E01013735","E02002828"
"8649","E01013737","E02002828"
"8662","E01013738","E02002832"
"8663","E01013740","E02002831"
"8668","E01013741","E02002831"
"8675","E01013747","E02002847"
"8676","E01013749","E02002847"
"8677","E01013750","E02002847"
"8678","E01013758","E02002847"
"8679","E01013757","E02002853"
"8680","E01013759","E02002853"
"8682","E01013764","E02002853"
"8686","E01013766","E02002853"
"8689","E01013756","E02002853"
"8694","E01013767","E02006815"
"8695","E01013768","E02006815"
"8720","E01013524","E02002803"
"8742","E01013606","E02002834"
"8744","E01013607","E02002834"
"8747","E01013605","E02002829"
"8754","E01013618","E02002827"
"8755","E01013623","E02002830"
"8756","E01013616","E02002827"
"8759","E01013627","E02002833"
"8760","E01013624","E02002833"
"8762","E01013629","E02002833"
"8764","E01013639","E02002854"
"8765","E01013635","E02002855"
"8767","E01013636","E02002855"
"8769","E01013643","E02002856"
"8801","E01013633","E02002854"
"8802","E01013770","E02002839"
"8804","E01013631","E02002852"
"8805","E01013632","E02002852"
"8806","E01013771","E02002839"
"8808","E01013773","E02002839"
"8817","E01013657","E02002843"
"8819","E01013634","E02002854"
"8822","E01013637","E02002854"
"8823","E01013638","E02002852"
"8825","E01013640","E02002852"
"8827","E01013673","E02002862"
"8828","E01013678","E02002861"
"8832","E01013676","E02002862"
"8835","E01013677","E02002862"
"8839","E01013675","E02002862"
"8840","E01013674","E02002862"
"8842","E01013691","E02002861"
"8843","E01013693","E02002861"
"8844","E01013692","E02002861"
"8847","E01013695","E02006815"
"8851","E01032602","E02006819"
"8852","E01013727","E02006819"
"8853","E01013728","E02002838"
"8858","E01013729","E02002846"
"8859","E01013722","E02006819"
"8861","E01013748","E02002844"
"8862","E01032875","E02006850"
"8863","E01013647","E02006850"
"8864","E01032873","E02006851"
"8865","E01013779","E02002849"
"8866","E01013775","E02002855"
"8867","E01013646","E02006850"
"8868","E01032868","E02006851"
"8870","E01013762","E02002848"
"8871","E01032872","E02006851"
"8873","E01013754","E02002844"
"8874","E01013723","E02002838"
"8879","E01013755","E02002844"
"8881","E01013654","E02002843"
"8886","E01032867","E02006851"
"8895","E01013778","E02002849"
"8897","E01013686","E02002834"
"8898","E01013604","E02002829"
"8899","E01013602","E02002829"
"8900","E01013609","E02002860"
"8901","E01013610","E02002860"
"8902","E01013611","E02002860"
"8915","E01013726","E02002838"
"8916","E01013730","E02006819"
"8925","E01013765","E02002853"
"8930","E01013725","E02002838"
"8935","E01013777","E02002855"
"8940","E01013760","E02002848"
"8941","E01013651","E02002837"
"8943","E01013689","E02006817"
"8944","E01013786","E02002846"
"8947","E01013761","E02002848"
"8949","E01013784","E02002849"
"8953","E01013711","E02002856"
"8955","E01032597","E02006815"
"8956","E01013782","E02002849"
"8957","E01013653","E02002837"
"8960","E01013712","E02002858"
"8962","E01013696","E02002835"
"8964","E01013772","E02006815"
"8965","E01013655","E02002837"
"8967","E01013763","E02002853"
"8969","E01013703","E02002858"
"8974","E01013704","E02002858"
"8975","E01013707","E02002858"
"8978","E01013776","E02002849"
"8982","E01013706","E02002858"
"8986","E01013780","E02002846"
"8989","E01013613","E02002857"
"8992","E01013603","E02002829"
"8994","E01013619","E02002827"
"8995","E01013620","E02002830"
"8998","E01013661","E02002845"
"9006","E01013614","E02002857"
"9013","E01013600","E02002829"
"9020","E01032863","E02002835"
"9021","E01013660","E02002845"
"9028","E01032862","E02002835"
"9030","E01013774","E02002849"
"9032","E01013658","E02002843"
"9036","E01013617","E02002830"
"9057","E01013659","E02002843"
"9058","E01013664","E02002845"
"9064","E01013718","E02002836"
"9065","E01013720","E02002836"
"9066","E01013716","E02002832"
"9067","E01013713","E02002836"
"9070","E01013753","E02002848"
"9077","E01013752","E02002848"
"9093","E01013625","E02002832"
"9094","E01013626","E02002833"
"9096","E01013628","E02002832"
"9097","E01013630","E02002833"
"9106","E01013641","E02002854"
"9107","E01013648","E02006850"
"9113","E01013652","E02002837"
"9117","E01013751","E02002848"
"9127","E01013615","E02002827"
"9147","E01013785","E02002846"
"9150","E01013731","E02006819"
"9159","E01013715","E02002832"
"9165","E01013681","E02002842"
"9180","E01013612","E02002860"
"9185","E01013621","E02002830"
"9186","E01013622","E02002830"
"9198","E01013746","E02002844"
"9233","E01013679","E02002861"
"9245","E01013688","E02002857"
"9256","E01013649","E02002856"
"9267","E01013682","E02002842"
"9272","E01013744","E02002844"
"9279","E01013745","E02002843"
"9286","E01013685","E02002834"
"9294","E01013683","E02002842"
"9306","E01013684","E02002842"
"9309","E01013608","E02002860"
"9314","E01013719","E02002836"
"9329","E01013650","E02002856"
"9348","E01013687","E02002857"
"9388","E01013742","E02002844"
"9389","E01013743","E02002843"
"9415","E01013783","E02002846"
"9417","E01013642","E02002856"
"9433","E01013601","E02002829"
"9454","E01013781","E02002849"
"9567","E01013656","E02002843"
"9601","E01013872","E02006905"
"9602","E01013942","E02002883"
"9603","E01013947","E02002893"
"9604","E01013959","E02002888"
"9605","E01013958","E02002890"
"9606","E01013962","E02002888"
"9608","E01013969","E02002877"
"9609","E01013976","E02002899"
"9611","E01013940","E02002883"
"9612","E01033397","E02002873"
"9613","E01033399","E02002890"
"9614","E01013813","E02002889"
"9615","E01013814","E02002889"
"9617","E01013811","E02002885"
"9619","E01013846","E02002885"
"9620","E01033398","E02002873"
"9622","E01013870","E02006905"
"9623","E01013801","E02002864"
"9624","E01013920","E02002896"
"9626","E01013917","E02002891"
"9627","E01013948","E02002893"
"9628","E01033404","E02002895"
"9629","E01013960","E02002888"
"9632","E01033411","E02002890"
"9633","E01033409","E02002890"
"9634","E01013983","E02002897"
"9635","E01013924","E02002898"
"9637","E01033405","E02002890"
"9640","E01013866","E02002881"
"9641","E01013892","E02002868"
"9642","E01013887","E02002868"
"9643","E01013901","E02002901"
"9644","E01013931","E02002886"
"9645","E01013932","E02002886"
"9646","E01013938","E02002882"
"9649","E01013967","E02002874"
"9650","E01013968","E02002877"
"9651","E01013971","E02002877"
"9652","E01013963","E02002874"
"9654","E01013793","E02002864"
"9655","E01013985","E02002897"
"9657","E01013795","E02002867"
"9658","E01013798","E02002865"
"9659","E01013800","E02002864"
"9660","E01013803","E02002865"
"9661","E01013808","E02002867"
"9662","E01013791","E02002866"
"9664","E01013806","E02002867"
"9665","E01013787","E02002867"
"9667","E01013796","E02002863"
"9668","E01013790","E02002863"
"9669","E01013792","E02002866"
"9671","E01013802","E02002865"
"9672","E01013807","E02002867"
"9673","E01013799","E02002865"
"9683","E01013805","E02002866"
"9685","E01013964","E02002874"
"9686","E01013977","E02002894"
"9689","E01013788","E02002863"
"9690","E01013789","E02002863"
"9692","E01013794","E02002867"
"9695","E01013797","E02002866"
"9697","E01013804","E02002866"
"9698","E01013809","E02002864"
"9719","E01013979","E02002894"
"9725","E01032522","E02002895"
"9773","E01013859","E02002887"
"9775","E01013871","E02006905"
"9777","E01013882","E02002869"
"9783","E01013873","E02006905"
"9785","E01013890","E02002871"
"9787","E01013982","E02002897"
"9789","E01013921","E02002896"
"9790","E01013918","E02002896"
"9791","E01013919","E02002896"
"9799","E01013926","E02002898"
"9801","E01013928","E02002898"
"9803","E01033408","E02002898"
"9804","E01013930","E02002886"
"9805","E01013943","E02002882"
"9806","E01013944","E02002893"
"9807","E01013945","E02002893"
"9814","E01033396","E02002893"
"9815","E01013957","E02002896"
"9817","E01013973","E02002899"
"9818","E01033400","E02006904"
"9822","E01013900","E02002902"
"9824","E01013929","E02002887"
"9827","E01013832","E02002876"
"9828","E01013839","E02002879"
"9832","E01013911","E02002904"
"9834","E01013915","E02002891"
"9836","E01013849","E02006834"
"9837","E01013835","E02002875"
"9839","E01013828","E02002875"
"9840","E01013877","E02002872"
"9844","E01013978","E02002894"
"9846","E01013830","E02002876"
"9850","E01013886","E02002871"
"9852","E01013837","E02002879"
"9854","E01013896","E02002901"
"9856","E01013816","E02002889"
"9857","E01013838","E02002879"
"9858","E01013975","E02002899"
"9861","E01013840","E02002879"
"9862","E01013936","E02002883"
"9864","E01013852","E02006834"
"9865","E01013843","E02002884"
"9866","E01013860","E02002892"
"9868","E01013864","E02002881"
"9869","E01013902","E02002901"
"9873","E01013935","E02002877"
"9877","E01013863","E02002892"
"9878","E01013913","E02002891"
"9880","E01013914","E02002891"
"9886","E01033410","E02002898"
"9890","E01013934","E02002886"
"9898","E01013939","E02002883"
"9899","E01013970","E02002877"
"9900","E01013972","E02002882"
"9902","E01013974","E02002899"
"9915","E01013876","E02002872"
"9950","E01013810","E02002885"
"9955","E01013812","E02002885"
"9957","E01013961","E02002890"
"9961","E01033403","E02006904"
"9964","E01013937","E02002882"
"9966","E01013829","E02002876"
"9967","E01013874","E02006904"
"9969","E01013888","E02002871"
"9970","E01032520","E02002895"
"9976","E01013817","E02002878"
"9985","E01013841","E02002879"
"9986","E01013844","E02002884"
"9988","E01013842","E02002885"
"9991","E01013847","E02002884"
"9996","E01013845","E02002884"
"10001","E01013819","E02002880"
"10003","E01013834","E02002875"
"10005","E01032621","E02006834"
"10007","E01013818","E02002878"
"10009","E01013880","E02002869"
"10010","E01013850","E02006834"
"10012","E01013851","E02006834"
"10022","E01013854","E02002873"
"10023","E01013853","E02002873"
"10024","E01013855","E02002873"
"10025","E01013980","E02002897"
"10030","E01013897","E02002902"
"10031","E01013858","E02002892"
"10032","E01013868","E02002887"
"10034","E01013865","E02002881"
"10037","E01013885","E02002869"
"10038","E01013881","E02002869"
"10040","E01013883","E02002872"
"10043","E01013884","E02002872"
"10049","E01013878","E02002872"
"10052","E01013879","E02002869"
"10053","E01013891","E02002871"
"10060","E01013889","E02002871"
"10067","E01013912","E02002903"
"10070","E01013941","E02002882"
"10071","E01013822","E02002878"
"10073","E01013820","E02002880"
"10074","E01013824","E02002880"
"10075","E01013823","E02002880"
"10078","E01013831","E02002876"
"10081","E01013856","E02002873"
"10100","E01013861","E02002887"
"10106","E01013867","E02002881"
"10121","E01013909","E02002903"
"10126","E01013907","E02002902"
"10128","E01013905","E02002903"
"10159","E01013875","E02002872"
"10166","E01013894","E02002868"
"10170","E01013895","E02002901"
"10172","E01013981","E02002894"
"10176","E01013984","E02002897"
"10178","E01013916","E02002891"
"10242","E01033401","E02002890"
"10243","E01033402","E02006904"
"10247","E01033406","E02006904"
"10249","E01033407","E02006904"
"10268","E01033395","E02002893"
"10276","E01013954","E02002888"
"10293","E01013893","E02002868"
"10295","E01013899","E02002902"
"10298","E01013903","E02002902"
"10299","E01013898","E02002902"
"10306","E01013910","E02002904"
"10307","E01013908","E02002903"
"10309","E01013906","E02002904"
"10310","E01013904","E02002904"
"10330","E01013966","E02002874"
"10331","E01013933","E02002886"
"10376","E01013821","E02002880"
"10378","E01013826","E02002878"
"10379","E01013825","E02002878"
"10447","E01013815","E02002889"
"10467","E01013965","E02002874"
"10504","E01013836","E02002875"
"10516","E01013953","E02002893"
"10571","E01013988","E02002915"
"10574","E01014005","E02002909"
"10579","E01014035","E02002923"
"10580","E01013862","E02002892"
"10586","E01014084","E02002914"
"10596","E01014093","E02002918"
"10599","E01014036","E02002923"
"10600","E01014063","E02002926"
"10601","E01014091","E02002918"
"10605","E01013991","E02002922"
"10606","E01014051","E02002905"
"10608","E01014072","E02002919"
"10609","E01013987","E02002915"
"10611","E01014000","E02002909"
"10612","E01014004","E02002909"
"10613","E01014006","E02002911"
"10614","E01014008","E02002910"
"10615","E01014009","E02002910"
"10616","E01014012","E02002911"
"10617","E01014013","E02002911"
"10618","E01014015","E02002909"
"10619","E01014014","E02002922"
"10621","E01014017","E02002908"
"10622","E01014016","E02002911"
"10624","E01014018","E02002924"
"10625","E01014019","E02002924"
"10627","E01014021","E02002924"
"10629","E01014022","E02002912"
"10630","E01014023","E02002912"
"10632","E01014025","E02002908"
"10634","E01014024","E02002908"
"10635","E01014026","E02002925"
"10702","E01013827","E02002875"
"10725","E01013833","E02002876"
"10801","E01014011","E02002916"
"10802","E01014034","E02002910"
"10805","E01014073","E02002919"
"10806","E01014076","E02002917"
"10809","E01014086","E02002916"
"10810","E01014087","E02002914"
"10813","E01014092","E02002916"
"10815","E01014040","E02002923"
"10816","E01013990","E02002922"
"10817","E01014060","E02002925"
"10822","E01014095","E02002915"
"10823","E01014070","E02002919"
"10825","E01013989","E02002916"
"10827","E01014074","E02002919"
"10831","E01013997","E02002920"
"10832","E01013992","E02002921"
"10834","E01013993","E02002921"
"10838","E01014042","E02002906"
"10842","E01014068","E02002919"
"10845","E01014094","E02002918"
"10846","E01013995","E02002921"
"10847","E01013994","E02002921"
"10853","E01014064","E02002926"
"10854","E01014078","E02002917"
"10856","E01014098","E02002925"
"10857","E01014029","E02002913"
"10858","E01014041","E02002906"
"10860","E01014044","E02002906"
"10862","E01014028","E02002913"
"10865","E01013986","E02002916"
"10866","E01014047","E02002907"
"10868","E01014059","E02002925"
"10870","E01014032","E02002927"
"10879","E01014079","E02002920"
"10883","E01014002","E02002909"
"10885","E01014096","E02002905"
"10888","E01014069","E02002925"
"10889","E01014031","E02002927"
"10891","E01014033","E02002910"
"10895","E01014062","E02002926"
"10896","E01014097","E02002908"
"10900","E01014020","E02002924"
"10901","E01014046","E02002907"
"10904","E01014038","E02002923"
"10914","E01014027","E02002913"
"10920","E01014050","E02002927"
"10923","E01014049","E02002927"
"10925","E01014052","E02002905"
"10933","E01014053","E02002927"
"10935","E01014054","E02002922"
"10939","E01014056","E02002910"
"10940","E01014055","E02002908"
"10944","E01014058","E02002927"
"10946","E01014045","E02002907"
"10948","E01014065","E02002926"
"10950","E01014099","E02002925"
"10954","E01014037","E02002923"
"10961","E01014088","E02002914"
"10967","E01014043","E02002906"
"10969","E01014007","E02002915"
"10972","E01014101","E02002911"
"10974","E01014100","E02002911"
"10978","E01014048","E02002907"
"10985","E01014071","E02002921"
"10988","E01014061","E02002926"
"10989","E01013999","E02002908"
"10993","E01013998","E02002905"
"11000","E01014030","E02002913"
"11008","E01014057","E02002927"
"11011","E01014081","E02002912"
"11020","E01013996","E02002920"
"11025","E01014077","E02002917"
"11030","E01014080","E02002920"
"11041","E01014075","E02002917"
"11043","E01014085","E02002914"
"11044","E01014082","E02002912"
"11048","E01014089","E02002914"
"11053","E01014003","E02002909"
"11056","E01014010","E02002916"
"11075","E01014067","E02002926"
"11079","E01014083","E02002914"
"11109","E01014066","E02002926"
"11133","E01014090","E02002918"
"11139","E01014001","E02002909"
"11205","E01014111","E02002931"
"11211","E01014107","E02002947"
"11213","E01014131","E02002929"
"11215","E01014160","E02002949"
"11219","E01014134","E02002939"
"11220","E01014132","E02002929"
"11221","E01014167","E02002931"
"11222","E01014104","E02002938"
"11268","E01014109","E02002947"
"11269","E01014168","E02002931"
"11270","E01014135","E02002929"
"11271","E01014172","E02002928"
"11275","E01014108","E02002947"
"11278","E01014110","E02002947"
"11279","E01014183","E02002942"
"11281","E01014120","E02002946"
"11284","E01014202","E02002937"
"11290","E01014124","E02002944"
"11291","E01014204","E02002937"
"11293","E01014106","E02002947"
"11300","E01014039","E02002923"
"11330","E01014140","E02002934"
"11331","E01014139","E02002936"
"11332","E01014143","E02002936"
"11333","E01014137","E02002936"
"11334","E01014151","E02002941"
"11335","E01014162","E02002949"
"11336","E01014116","E02002950"
"11338","E01014182","E02002942"
"11340","E01014115","E02002950"
"11344","E01014191","E02002945"
"11390","E01014114","E02002938"
"11392","E01014118","E02002950"
"11437","E01014190","E02002933"
"11440","E01014122","E02002946"
"11444","E01014121","E02002946"
"11446","E01014195","E02002945"
"11447","E01014203","E02002937"
"11449","E01014173","E02002928"
"11450","E01014178","E02002930"
"11451","E01014180","E02002933"
"11452","E01014184","E02002942"
"11453","E01014145","E02002939"
"11454","E01014164","E02002944"
"11456","E01014102","E02002934"
"11457","E01014201","E02002948"
"11458","E01014198","E02002948"
"11460","E01014129","E02002933"
"11462","E01014130","E02002933"
"11467","E01014144","E02002939"
"11468","E01014170","E02002931"
"11471","E01014174","E02002928"
"11474","E01014176","E02002930"
"11476","E01014177","E02002930"
"11477","E01014179","E02002933"
"11479","E01014189","E02002933"
"11481","E01014205","E02002935"
"11482","E01014112","E02002929"
"11489","E01014126","E02002932"
"11490","E01014156","E02002943"
"11492","E01014125","E02002932"
"11493","E01014169","E02002932"
"11494","E01014136","E02002937"
"11495","E01014127","E02002932"
"11498","E01014146","E02002943"
"11499","E01014153","E02002941"
"11501","E01014152","E02002941"
"11505","E01014158","E02002943"
"11506","E01014159","E02002949"
"11507","E01014161","E02002949"
"11508","E01014166","E02002944"
"11509","E01014175","E02002930"
"11510","E01014185","E02002940"
"11511","E01014186","E02002940"
"11512","E01014208","E02002935"
"11519","E01014155","E02002941"
"11520","E01014171","E02002928"
"11527","E01014103","E02002934"
"11531","E01014117","E02002950"
"11532","E01014119","E02002946"
"11537","E01014138","E02002934"
"11550","E01014163","E02002944"
"11552","E01014165","E02002944"
"11557","E01014192","E02002945"
"11559","E01014196","E02002945"
"11560","E01014193","E02002945"
"11561","E01014199","E02002948"
"11562","E01014200","E02002948"
"11565","E01014209","E02002935"
"11566","E01014141","E02002936"
"11572","E01014128","E02002932"
"11573","E01014133","E02002939"
"11591","E01014194","E02002945"
"11599","E01014206","E02002935"
"11609","E01014157","E02002943"
"11611","E01014181","E02002942"
"11638","E01014154","E02002941"
"11641","E01014150","E02002941"
"11653","E01014187","E02002940"
"11657","E01014308","E02002977"
"11661","E01014311","E02002977"
"11669","E01014329","E02002963"
"11670","E01014337","E02002954"
"11671","E01014335","E02002954"
"11672","E01014336","E02002954"
"11673","E01014333","E02002953"
"11674","E01014353","E02002980"
"11675","E01014357","E02002952"
"11677","E01014359","E02002952"
"11678","E01014364","E02002974"
"11679","E01014366","E02002978"
"11680","E01014365","E02002974"
"11681","E01014267","E02002957"
"11683","E01014254","E02002961"
"11684","E01014256","E02002961"
"11685","E01014281","E02002965"
"11686","E01014284","E02002966"
"11687","E01014283","E02002966"
"11690","E01014287","E02002965"
"11693","E01014330","E02002963"
"11696","E01014258","E02002951"
"11698","E01014314","E02002981"
"11699","E01014320","E02002983"
"11701","E01014326","E02002960"
"11702","E01014325","E02002960"
"11703","E01014351","E02002984"
"11704","E01014352","E02002984"
"11705","E01014347","E02002984"
"11706","E01014350","E02002984"
"11707","E01014264","E02002951"
"11708","E01014310","E02002981"
"11710","E01014294","E02002968"
"11711","E01014291","E02002968"
"11712","E01014309","E02002977"
"11715","E01014231","E02002966"
"11724","E01014123","E02002946"
"11734","E01014188","E02002940"
"11743","E01014105","E02002938"
"11744","E01014113","E02002938"
"11749","E01014142","E02002936"
"11775","E01014197","E02002948"
"11781","E01014147","E02002943"
"11805","E01014207","E02002935"
"11844","E01014290","E02002968"
"11845","E01014236","E02002982"
"11846","E01014334","E02002953"
"11848","E01014348","E02002980"
"11850","E01014212","E02002962"
"11851","E01014213","E02002962"
"11852","E01014219","E02002964"
"11854","E01014235","E02002982"
"11856","E01014243","E02002956"
"11857","E01014245","E02002956"
"11858","E01014242","E02002956"
"11859","E01014253","E02002961"
"11860","E01014252","E02002959"
"11861","E01014271","E02002958"
"11863","E01014279","E02002970"
"11864","E01014274","E02002970"
"11865","E01014280","E02002971"
"11866","E01014278","E02002971"
"11867","E01014295","E02002969"
"11868","E01014303","E02002975"
"11869","E01014296","E02002972"
"11871","E01014298","E02002972"
"11879","E01014148","E02002937"
"11920","E01014149","E02002937"
"12005","E01014222","E02002967"
"12007","E01014229","E02002967"
"12008","E01014237","E02002982"
"12010","E01014343","E02002973"
"12011","E01014275","E02002970"
"12013","E01014338","E02002973"
"12014","E01014342","E02002973"
"12015","E01014367","E02002978"
"12016","E01014368","E02002978"
"12019","E01014225","E02002964"
"12020","E01014248","E02002956"
"12022","E01014247","E02002959"
"12024","E01014241","E02002956"
"12027","E01014266","E02002958"
"12028","E01014272","E02002957"
"12029","E01014273","E02002971"
"12031","E01014276","E02002970"
"12038","E01014277","E02002970"
"12043","E01014323","E02002963"
"12047","E01014327","E02002963"
"12052","E01014339","E02002969"
"12053","E01014223","E02002967"
"12054","E01014230","E02002964"
"12057","E01014240","E02002976"
"12058","E01014345","E02002969"
"12062","E01014234","E02002976"
"12063","E01014319","E02002983"
"12064","E01014302","E02002972"
"12067","E01033216","E02002966"
"12073","E01014312","E02002979"
"12075","E01014360","E02002952"
"12077","E01014328","E02002963"
"12078","E01014233","E02002976"
"12080","E01014321","E02002978"
"12083","E01014238","E02002982"
"12084","E01014344","E02002973"
"12089","E01014361","E02002955"
"12092","E01014228","E02002964"
"12093","E01014268","E02002958"
"12094","E01014262","E02002953"
"12097","E01014239","E02002976"
"12105","E01014210","E02002962"
"12106","E01014263","E02002953"
"12107","E01014260","E02002951"
"12110","E01014259","E02002951"
"12111","E01014244","E02002956"
"12117","E01014246","E02002958"
"12118","E01014221","E02002967"
"12119","E01014224","E02002967"
"12120","E01014226","E02002964"
"12136","E01014261","E02002953"
"12138","E01014269","E02002960"
"12149","E01014292","E02002968"
"12152","E01014300","E02002972"
"12158","E01014322","E02002981"
